CODE NO,ITEMS,RATE,BIZ,CODE NO,ITEMS,RATE,BIZ
300,C.T.C TEA BOX 250 - GMS,110,,343,,,
301,C.T.C TEA BOX 500 - GMS,220,5,344,,,
302,DUST TEA BOX 250 - GMS,110,,345,,,
303,DUST TEA BOX 500 - GMS,220,5,346,,,
304,MASALA TEA BOX 250 - GMS,120,,347,,,
305,MASALA TEA BOX 500 - GMS,240,7,348,,,
306,CARDAMOM TEA BOX 250 - GMS,120,,349,,,
307,CARDAMOM TEA BOX 500 - GMS,240,7,350,MORNING STAR COFFEE,325,10
308,COCOA TEA BOX 250 - GMS,120,,351,COFFEE COUNTRY SMALL,260,
309,COCOA TEA BOX 500 - GMS,240,7,352,COFFEE COUNTRY BIG,520,15
310,LEMON  TEA BOX 250 - GMS,120,,353,,,
311,LEMON  TEA BOX 500 - GMS,240,7,354,SIDHI INSTANT COFFEE-BIG,400,10
312,GINGER  TEA BOX 250 - GMS,120,4,355,,,
313,VANILLA  TEA BOX 250 - GMS,120,4,356,,,
314,SAGAR TEA – 250GMS,190,10,357,,,
315,SAGAR TEA – 500 - GMS,380,20,358,,,
316,GREEN TEA BOX 250 - GMS,220,10,359,SIDHI INSTANT-SMALL-NEW,100,7
317,GREEN TEA BOX 500 - GMS,440,20,360,,,
318,C.T.C TEA JAR 1 KG,400,15,361,,,
319,DUST TEA JAR 1 KG,400,15,362,,,
320,MASALA TEA JAR 1 KG,400,15,363,,,
321,CARDAMOM TEA JAR 1 KG,400,15,364,,,
322,COCOA TEA JAR 1 KG,400,15,365,,,
323,,,,366,,,
324,,,,367,,,
325,POUCH NILGIRIS TEA-100,190,10,368,,,
326,POUCH GREEN TEA-100,190,10,369,,,
327,POUCH GINGER TEA-100,190,10,370,,,
328,POUCH MASALA TEA-100,190,10,371,,,
329,POUCH CARDAMOM TEA-100,,10,372,,,
330,GOLDEN TIPS TEA 100,210,10,373,,,
331,SILVER TIPS TEA-100,210,10,374,,,
332,,,,375,,,
333,5 IN 1 TEA 500 – GMS,250,10,376,,,
334,,,,377,,,
335,,,,378,,,
336,,,,379,,,
337,,,,380,,,
338,,,,381,,,
339,,,,382,,,
340,,,,383,,,
341,,,,384,,,
342,,,,385,,,
