CODE NO,ITEMS,RATE,BIZ,CODE NO,ITEMS,RATE,BIZ
1400,ROSE WATER-200 ML,70,,1445,SANDAL GEL,140,12
1401,ROSE WATER-500 ML,160,10,1446,ALOVERA GEL,140,12
1402,HERBAL ROOTS,140,12,1447,SANDAL POWDER,160,10
1403,ROSEMAERY OIL -25 ML,650,25,1448,JAVADU POWDER-25 G,100,5
1405,ROSEMARY OIL-50 ML,1300,50,1449,JAVADU POWDER-50 G,200,10
1406,,,,1450,,,
1407,,,,1451,,,
1408,,,,1452,,,
1409,TEA TREE OIL-25 ML,450,25,1453,,,
1410,TEA TREE OIL-50 ML,900,50,1454,SAFFRON SANDAL 3IN 1,225,5
1411,LAVENDER OIL-25 ML,325,15,1455,,,
1412,LAVENDER OIL-50 ML,650,30,1456,,,
1413,LAVENDER OIL-100 ML,1250,60,1457,,,
1414,JASMINE OIL-25 ML,325,15,1458,,,
1415,JASMINE OIL-50 ML,650,30,1459,,,
1416,JASMINE OIL-100 ML,1250,60,1460,,,
1417,ROSE OIL-25 ML,325,15,1461,,,
1418,ROSE OIL-50 ML,650,30,1462,,,
1419,ROSE OIL-100 ML,1250,60,1463,,,
1420,,,,1464,,,
1421,,,,1465,,,
1422,,,,1466,,,
1423,,,,1467,,,
1424,SANDAL OIL (A)-25 ML,380,15,1468,,,
1425,SANDAL OIL (A)-50 ML,760,30,1469,,,
1426,SANDAL OIL (A)-100 ML,1500,60,1470,,,
1427,JAVADU OIL-25 ML,325,15,1471,,,
1428,CONE FLOOR WASH-500 ML,210,10,1472,,,
1429,CONE FLOOR WASH-1 LTR,410,20,1473,,,
1430,,,,1474,,,
1431,,,,1475,,,
1432,,,,1476,,,
1433,SANDAL BATHI-100 G,70,,1477,,,
1434,SANDAL BATHI-200 G,140,,1478,,,
1435,SANDAL BATHI-400 G,280,8,1479,,,
1436,ROSE BATHI-100 G,95,7,1480,,,
1437,JASMINE BATHI-100 G,95,7,1481,,,
1438,JAVADU BATHI-100 G,95,7,1482,,,
1439,,,,1483,3 IN 1 BRINDAVAN SANDAL ZX,225,5
1440,,,,1484,CAUVERY SANDAL (P.D) ZX,190,5
1441,SANDAL PACK,140,12,1485,,,
1442,CUCUMBER PACK,140,12,1486,EUC SOAP NEW AX,220,5
1443,ALOVERA PACK,140,12,1487,,,
1444,SANDAL CREAM,140,12,1488,,,
