CODE NO,ITEM NAME,RATE,BIZ,CODE NO,ITEM NAME,RATE,BIZ
600,JOUJOUPS – 250G,75,5,,,,
602,SLIMMER HONEY – 500G,300,15,,,,
603,SLIMMER HONEY – 1KG,600,30,,,,
604,SAGAR HONEY – 500G,240,10,,,,
605,SAGAR HONEY – 1KG,480,20,,,,
606,MARSHMELLOW,60,3,,,,
610,FORTUNE WATER – 5L,70,,,,,
611,FAUCET CAP FORTUNE WATER – 5L,80,,,,,
612,BISLERI – 5L,70,,,,,
613,REDWINE – FREDI MONT,700,,,,,
614,RED WINE - VENETO,600,,,,,
615,VENETO RED WINE - NEW,700,,,,,
617,RED WINE – SENES,500,,,,,
618,,,,,,,
619,,,,,,,
620,REDWINE – VEGA RICA,400,,,,,
621,REDWINE – CARL JUNG,400,,,,,
622,WHITE WINE – CARL JUNG,400,,,,,
623,FORTUNE WATER 750ML,60,,,,,
624,WHITE WINE – BILLABONG,700,,,,,
654,PACKING BOX 100G,,,,,,
655,PACKIBG BOX – 250G,,,,,,
656,PACKING BOX – 500G,,,,,,
660,FREE CARRY BAG - SMALL,,,,,,
661,FREE CARRY BAG – MEDIUM,,,,,,
662,FREE CARRY BAG - BAG,,,,,,
663,,,,,,,
664,,,,,,,
665,,,,,,,
666,,,,,,,
667,,,,,,,
668,,,,,,,
669,,,,,,,
670,,,,,,,
971,,,,,,,
972,,,,,,,
973,,,,,,,
974,,,,,,,
975,,,,,,,
976,,,,,,,
977,,,,,,,
978,,,,,,,
979,,,,,,,
780,,,,,,,
781,,,,,,,
