CODE NO,ITEMS,RATE,BIZ,CODE NO,ITEMS,RATE,BIZ
200,CARDAMOM (A) 100G,480,5,244,STAR ANISE-50G,70,
201,CARDAMOM (A) 250G,1200,15,245,,,
202,CARDAMOM (B) 100G,,4,246,,,
203,CARDAMOM (B) 250G,,10,247,,,
204,CLOVES (A) 100G,200,5,248,,,
205,CLOVES (A) 250G,500,15,249,,,
206,CINNAMON-100G,60,3,250,,,
207,CINNAMON-250G,150,8,251,,,
208,STAR ANISE-100G,140,4,252,SAFFRON-0.5 GRM,190,
209,STAR ANISE-250G,350,8,253,SAFFRON (A)-1 GRM,380,15
210,DRY GINGER-100G,90,,254,SAFFRON(A)-2 GRM,750,30
211,DRY GINGER-250G,225,8,256,,,
212,MACE (A) 50G,260,5,257,,,
213,MACE (A) 100G,520,10,258,,,
214,SOMBU-250G,90,,259,,,
215,CINNAMON ROLL-100G,250,,260,,,
216,NUTMEG (A) 100G,170,15,261,,,
217,MASALA CARDAMOM-100G,360,,262,,,
218,MARATHI MOOKU-100G,60,,263,,,
219,KHUS KHUS-250G,500,7,264,,,
220,JEERA-250G,150,7,265,,,
221,SHAH JEERA-250G,225,5,266,,,
222,WHITE PEPPER-250G,500,5,267,,,
223,BAY LEAF,25,8,268,,,
224,BLACK PEPPER-100G,120,,269,,,
225,BLACK PEPPER-250G,300,7,270,,,
226,WHITE PEPPER-100G,180,3,271,,,
227,SHAH JEERA-100G,90,3,272,,,
228,KHUS KHUS-100G,200,3,273,,,
229,CARDAMOM (A) 50G,240,3,274,,,
230,CLOVES (A) 50G,100,3,275,,,
231,KALPASI-50G,50,,276,,,
232,KASRI METHI-50G,35,,277,,,
233,BLACK JEERA-100G,60,,278,,,
234,ROSE PETALS-50G,100,,279,,,
235,MIXED SPICES SMALL,250,7,280,,,
236,MIXED SPICES BIG,500,14,,,,
237,SPICE TOUCH,520,20,,,,
238,RAISIN-250G,160,5,,,,
239,CHERRY-250G,80,5,,,,
240,GINGER CANDY,95,5,,,,
241,AMLA CANDY,60,5,,,,
242,VANILLA POD,390,,,,,
243,VANILLA EXTRACT,450,,,,,
